playerID,year,contractSalary,contractCreateDate,contractExpireDate,year_signed,contract_years
00-0030169,0,0.51,,0003-03-01,0,3
00-0033620,2018,0.1292,2018-03-01,2019-03-01,2018,1
00-0028009,2017,8.0,2015-03-01,2020-03-01,2015,5
00-0032764,2024,8.0,2024-03-01,2026-03-01,2024,2
00-0030147,2019,3.333333,2017-03-01,2020-03-01,2017,3
00-0026998,2016,1.7175,2016-03-01,2017-03-01,2016,1
00-0022127,2018,6.5,2017-03-01,2021-03-01,2017,4
00-0033339,2017,0.556667,2017-03-01,2020-03-01,2017,3
00-0024243,2014,6.8,2011-03-01,2016-03-01,2011,5
00-0032524,2018,0.51,2017-03-01,2019-03-01,2017,2
00-0040118,2027,0.988333,2025-03-01,2028-03-01,2025,3
00-0027150,2020,7.75,2019-03-01,2021-03-01,2019,2
00-0040248,2025,1.075418,2025-03-01,2029-03-01,2025,4
00-0024313,2015,4.083333,2015-03-01,2018-03-01,2015,3
00-0039272,2024,0.946667,2024-03-01,2027-03-01,2024,3
00-0034442,2021,0.66,2021-03-01,2022-03-01,2021,1
00-0034201,2019,0.615,2019-03-01,2021-03-01,2019,2
00-0037153,2023,0.856667,2022-03-01,2025-03-01,2022,3
00-0036888,2022,0.910119,2021-03-01,2025-03-01,2021,4
00-0031555,2024,0.3024,2024-03-01,2025-03-01,2024,1
00-0028694,2012,0.0,2011-03-01,2014-03-01,2011,3
00-0033357,2021,10.5,2020-03-01,2022-03-01,2020,2
00-0040028,2027,0.996667,2025-03-01,2028-03-01,2025,3
00-0036303,2023,0.984734,2020-03-01,2024-03-01,2020,4
00-0027597,0,0.645,,0001-03-01,0,1
00-0026252,2011,0.543875,2008-03-01,2012-03-01,2008,4
00-0027297,2018,3.75,2018-03-01,2019-03-01,2018,1
00-0037743,2025,2.916755,2022-03-01,2026-03-01,2022,4
00-0030040,0,0.465,,0002-03-01,0,2
00-0032796,2019,0.645,2019-03-01,2020-03-01,2019,1
00-0038591,2023,1.040519,2023-03-01,2027-03-01,2023,4
00-0028050,2011,0.622789,2011-03-01,2015-03-01,2011,4
00-0030912,0,0.465,,0002-03-01,0,2
00-0037003,2022,0.241333,2022-03-01,2023-03-01,2022,1
00-0030155,2017,1.533333,2016-03-01,2019-03-01,2016,3
00-0033351,2019,0.525,2018-03-01,2020-03-01,2018,2
00-0035689,2024,9.833333,2024-03-01,2027-03-01,2024,3
00-0029138,2016,0.675,2016-03-01,2017-03-01,2016,1
00-0035118,2025,1.125,2023-03-01,2026-03-01,2023,3
00-0030488,2016,0.1173,2016-03-01,2017-03-01,2016,1
00-0034996,2019,0.669577,2019-03-01,2023-03-01,2019,4
00-0035156,2022,3.49125,2022-03-01,2026-03-01,2022,4
00-0029299,2015,0.55145,2012-03-01,2016-03-01,2012,4
00-0030402,2020,1.25,2020-03-01,2022-03-01,2020,2
00-0026625,2020,4.0,2019-03-01,2022-03-01,2019,3
00-0036196,2021,0.998593,2020-03-01,2024-03-01,2020,4
00-0034979,2019,0.798943,2019-03-01,2023-03-01,2019,4
00-0031136,2022,5.0,2022-03-01,2026-03-01,2022,4
00-0026952,2009,0.449819,2009-03-01,2013-03-01,2009,4
00-0032685,2017,0.54,2016-03-01,2019-03-01,2016,3
00-0024240,2014,0.855,2014-03-01,2015-03-01,2014,1
00-0033053,2021,1.1275,2021-03-01,2022-03-01,2021,1
00-0035935,2021,0.764,2020-03-01,2023-03-01,2020,3
00-0033155,2017,0.51,2017-03-01,2019-03-01,2017,2
00-0033627,2020,0.7625,2020-03-01,2022-03-01,2020,2
00-0033702,2025,1.255,2025-03-01,2026-03-01,2025,1
00-0022019,2009,3.9,2006-03-01,2011-03-01,2006,5
00-0036555,2026,8.3,2024-03-01,2028-03-01,2024,4
00-0026142,2018,2.25,2017-03-01,2019-03-01,2017,2
00-0037616,2024,1.266409,2022-03-01,2026-03-01,2022,4
00-0029542,2017,13.0,2017-03-01,2022-03-01,2017,5
00-0033537,2025,46.0,2022-03-01,2027-03-01,2022,5
00-0020531,2016,20.0,2012-03-01,2017-03-01,2012,5
00-0037456,2024,0.225,2024-03-01,2025-03-01,2024,1
00-0028698,2016,0.675,2016-03-01,2017-03-01,2016,1
00-0032391,2025,16.0,2021-03-01,2026-03-01,2021,5
00-0031511,2018,0.1292,2018-03-01,2019-03-01,2018,1
00-0030050,2018,1.0,2018-03-01,2019-03-01,2018,1
00-0035623,2023,1.1125,2023-03-01,2024-03-01,2023,1
00-0036629,2028,15.0,2025-03-01,2029-03-01,2025,4
00-0037805,2022,1.261226,2022-03-01,2026-03-01,2022,4
00-0029649,1,0.495,,0003-03-01,0,3
00-0026153,2010,2.725,2008-03-01,2013-03-01,2008,5
00-0031550,2015,2.202181,2015-03-01,2019-03-01,2015,4
00-0034857,2023,43.0,2021-03-01,2027-03-01,2021,6
00-0026000,2011,3.01,2010-03-01,2013-03-01,2010,3
00-0025980,2010,0.4375,2010-03-01,2012-03-01,2010,2
00-0027664,2010,0.861625,2010-03-01,2014-03-01,2010,4
00-0035242,2022,1.522646,2019-03-01,2023-03-01,2019,4
00-0036181,2020,0.763333,2020-03-01,2023-03-01,2020,3
00-0034659,2021,0.835,2020-03-01,2022-03-01,2020,2
00-0025951,0,0.73,,0001-03-01,0,1
00-0035766,2020,0.763333,2020-03-01,2023-03-01,2020,3
00-0031433,2015,0.786625,2014-03-01,2018-03-01,2014,4
00-0036936,2022,1.731064,2021-03-01,2025-03-01,2021,4
00-0027652,2016,3.0,2016-03-01,2017-03-01,2016,1
00-0028664,2019,2.175,2017-03-01,2021-03-01,2017,4
00-0020536,2008,8.0,2004-03-01,2010-03-01,2004,6
00-0040233,2028,1.082906,2025-03-01,2029-03-01,2025,4
00-0027940,2022,20.0,2022-03-01,2028-03-01,2022,6
00-0027145,2009,0.6345,2009-03-01,2013-03-01,2009,4
00-0025624,2015,3.0,2015-03-01,2016-03-01,2015,1
00-0034185,2021,1.25,2021-03-01,2022-03-01,2021,1
00-0035255,2021,0.819922,2019-03-01,2023-03-01,2019,4
00-0035849,2022,0.768333,2020-03-01,2023-03-01,2020,3
00-0030113,2014,0.555455,2013-03-01,2017-03-01,2013,4
00-0029000,2019,7.25,2019-03-01,2023-03-01,2019,4
00-0027711,2014,3.0,2014-03-01,2015-03-01,2014,1
00-0025399,2009,2.663,2007-03-01,2012-03-01,2007,5
00-0037618,2025,0.962913,2022-03-01,2026-03-01,2022,4
00-0029676,2012,4.066126,2012-03-01,2016-03-01,2012,4
00-0033281,2018,2.96187,2017-03-01,2021-03-01,2017,4
00-0032059,2016,0.765228,2015-03-01,2019-03-01,2015,4
00-0035844,2020,0.765,2020-03-01,2023-03-01,2020,3
00-0024405,2014,5.0,2012-03-01,2016-03-01,2012,4
00-0036561,2022,0.946497,2021-03-01,2025-03-01,2021,4
00-0036695,2023,0.9975,2023-03-01,2025-03-01,2023,2
00-0034461,2020,0.214236,2020-03-01,2021-03-01,2020,1
00-0034762,2022,1.035,2022-03-01,2023-03-01,2022,1
00-0035869,2020,0.765833,2020-03-01,2023-03-01,2020,3
00-0040379,2026,0.991667,2025-03-01,2028-03-01,2025,3
00-0033982,2019,0.555,2017-03-01,2020-03-01,2017,3
00-0033955,2019,0.685,2019-03-01,2022-03-01,2019,3
00-0039230,2026,0.943333,2024-03-01,2027-03-01,2024,3
00-0033883,2024,4.5,2023-03-01,2025-03-01,2023,2
